architecture,regularization,seed,block,condition,accuracy,balanced_accuracy,macro_f1
234x234,task_only,11,crosscheck,X1_wlin_analog,0.4041095890410959,0.39617535242535246,0.38530929498671446
234x234,task_only,11,crosscheck,X2_wlin_lif_beta05,0.3493150684931507,0.33769286269286264,0.32115963140689746
234x234,task_only,11,crosscheck,X3_wlif_analog,0.3904109589041096,0.37671217671217666,0.3655452830412225
234x234,task_only,11,crosscheck,X4_wlif_lif_beta05,0.3835616438356164,0.36598679098679093,0.34215161791888127
234x234,task_only,23,crosscheck,X1_wlin_analog,0.3356164383561644,0.3270666833166833,0.3006860366043971
234x234,task_only,23,crosscheck,X2_wlin_lif_beta05,0.2808219178082192,0.2702845765345765,0.24226364953138893
234x234,task_only,23,crosscheck,X3_wlif_analog,0.273972602739726,0.2637140637140637,0.21467016170963538
234x234,task_only,23,crosscheck,X4_wlif_lif_beta05,0.2808219178082192,0.2599081474081474,0.22523119731739616
234x234,task_only,37,crosscheck,X1_wlin_analog,0.4178082191780822,0.41615606615606615,0.39919227416367
234x234,task_only,37,crosscheck,X2_wlin_lif_beta05,0.3904109589041096,0.37226870351870356,0.36850593046925023
234x234,task_only,37,crosscheck,X3_wlif_analog,0.4041095890410959,0.3892302142302142,0.3510242521001122
234x234,task_only,37,crosscheck,X4_wlif_lif_beta05,0.4041095890410959,0.37843267843267836,0.36173083431081277
234x234,task_plus_reg,11,crosscheck,X1_wlin_analog,0.4589041095890411,0.443235236985237,0.43671235020613514
234x234,task_plus_reg,11,crosscheck,X2_wlin_lif_beta05,0.4452054794520548,0.42795745920745915,0.419712846743246
234x234,task_plus_reg,11,crosscheck,X3_wlif_analog,0.4589041095890411,0.439328033078033,0.420673340629481
234x234,task_plus_reg,11,crosscheck,X4_wlif_lif_beta05,0.410958904109589,0.394590132090132,0.3883685818841203
234x234,task_plus_reg,23,crosscheck,X1_wlin_analog,0.4315068493150685,0.4259122821622821,0.4157180806689298
234x234,task_plus_reg,23,crosscheck,X2_wlin_lif_beta05,0.410958904109589,0.41252150627150624,0.39512748145101084
234x234,task_plus_reg,23,crosscheck,X3_wlif_analog,0.4383561643835616,0.4243270618270618,0.4174574437304914
234x234,task_plus_reg,23,crosscheck,X4_wlif_lif_beta05,0.3904109589041096,0.39020215895215893,0.37740348276557456
234x234,task_plus_reg,37,crosscheck,X1_wlin_analog,0.4315068493150685,0.42058427683427674,0.41724938631366526
234x234,task_plus_reg,37,crosscheck,X2_wlin_lif_beta05,0.3493150684931507,0.33133463758463755,0.316089648709765
234x234,task_plus_reg,37,crosscheck,X3_wlif_analog,0.4383561643835616,0.4220092407592407,0.42228090580149846
234x234,task_plus_reg,37,crosscheck,X4_wlif_lif_beta05,0.4589041095890411,0.4371114996114996,0.404948387461121
