seed,reset_case,phase,delay_steps,delay_ms,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
11,intact,0.25,0,0.0,L1,spike50,1.0,1.365441196261787e-16,1.0,1.3805294023239838e-16,0.0,0.0,119
11,intact,0.25,0,0.0,L1,syn_current,1.0,1.3597399555105182e-16,1.0,1.3455014484288012e-16,0.0,0.0,128
11,intact,0.25,0,0.0,L1,pre_reset,1.0,1.2832264423908535e-16,1.0,1.2295751324518482e-16,0.0,0.0,128
11,intact,0.25,0,0.0,L2,spike50,1.0,1.4043333874306804e-16,1.0,1.2299310667862546e-16,0.0,0.0,110
11,intact,0.25,0,0.0,L2,syn_current,1.0,1.246471573565699e-16,1.0,1.3191415199864766e-16,0.0,0.0,119
11,intact,0.25,0,0.0,L2,pre_reset,1.0,1.435698634481398e-16,1.0,1.3578342223308123e-16,0.0,0.0,119
11,intact,0.25,1,15.625,L1,spike50,1.0,1.1551893928560613e-16,1.0,1.4415596854692585e-16,0.0,0.0,121
11,intact,0.25,1,15.625,L1,syn_current,1.0,1.3238565818820347e-16,1.0,1.4654050252376534e-16,0.0,0.0,128
11,intact,0.25,1,15.625,L1,pre_reset,1.0,1.1978388074229732e-16,1.0,1.4522029090674701e-16,0.0,0.0,128
11,intact,0.25,1,15.625,L2,spike50,1.0,1.4089860784348553e-16,1.0,1.3086419388053634e-16,0.0,0.0,113
11,intact,0.25,1,15.625,L2,syn_current,1.0,1.1595901302887535e-16,1.0,1.1942123619484718e-16,0.0,0.0,121
11,intact,0.25,1,15.625,L2,pre_reset,1.0,1.2361272322822894e-16,1.0,1.3541095381348762e-16,0.0,0.0,121
11,intact,0.25,2,31.25,L1,spike50,1.0,1.3075659740283351e-16,1.0,1.4205201749847224e-16,0.0,0.0,124
11,intact,0.25,2,31.25,L1,syn_current,1.0,1.4555146645863653e-16,1.0,1.4621156719869436e-16,0.0,0.0,128
11,intact,0.25,2,31.25,L1,pre_reset,1.0,1.2907088757326182e-16,1.0,1.377331113139258e-16,0.0,0.0,128
11,intact,0.25,2,31.25,L2,spike50,1.0,1.432055632259251e-16,1.0,1.193256020851645e-16,0.0,0.0,116
11,intact,0.25,2,31.25,L2,syn_current,1.0,1.2452647265114848e-16,1.0,1.4064552723790722e-16,0.0,0.0,124
11,intact,0.25,2,31.25,L2,pre_reset,1.0,1.2689861861333744e-16,1.0,1.22919612135655e-16,0.0,0.0,124
11,intact,0.25,4,62.5,L1,spike50,1.0,1.2985338597471815e-16,1.0,1.5447667261737484e-16,0.0,0.0,125
11,intact,0.25,4,62.5,L1,syn_current,1.0,1.3526394372366472e-16,1.0,1.391243901732968e-16,0.0,0.0,128
11,intact,0.25,4,62.5,L1,pre_reset,1.0,1.3632763462826172e-16,1.0,1.3311106448512297e-16,0.0,0.0,128
11,intact,0.25,4,62.5,L2,spike50,1.0,1.4506656294615844e-16,1.0,1.2897683578866752e-16,0.0,0.0,123
11,intact,0.25,4,62.5,L2,syn_current,1.0,1.2481988174211263e-16,1.0,1.4148266844381744e-16,0.0,0.0,125
11,intact,0.25,4,62.5,L2,pre_reset,1.0,1.383107983911941e-16,1.0,1.4321446692197792e-16,0.0,0.0,125
11,intact,0.25,8,125.0,L1,spike50,1.0,1.289583352025021e-16,1.0,1.3084103822364793e-16,0.0,0.0,126
11,intact,0.25,8,125.0,L1,syn_current,1.0,1.2719202621569003e-16,1.0,1.4321715647129733e-16,0.0,0.0,128
11,intact,0.25,8,125.0,L1,pre_reset,1.0,1.4588189019024588e-16,1.0,1.237382037120247e-16,0.0,0.0,128
11,intact,0.25,8,125.0,L2,spike50,1.0,1.395248278859353e-16,1.0,1.289583352025021e-16,0.0,0.0,126
11,intact,0.25,8,125.0,L2,syn_current,1.0,1.3650827657014018e-16,1.0,1.4310328291794667e-16,0.0,0.0,127
