seed,sample_index,relation,lag_steps,lag_ms,layer,state,corr_mean,count
11,0,within,1,15.625,L1,spike50,0.9278192862603334,31
11,0,within,1,15.625,L1,syn_current,0.9448365048645264,31
11,0,within,1,15.625,L1,pre_reset,0.9618528024172801,31
11,0,within,1,15.625,L2,spike50,0.979018009099254,31
11,0,within,1,15.625,L2,syn_current,0.9843548776481568,31
11,0,within,1,15.625,L2,pre_reset,0.9931891898399736,31
11,0,within,2,31.25,L1,spike50,0.8949314896185899,30
11,0,within,2,31.25,L1,syn_current,0.8946406199424523,30
11,0,within,2,31.25,L1,pre_reset,0.9240024108464501,30
11,0,within,2,31.25,L2,spike50,0.9492812757970238,30
11,0,within,2,31.25,L2,syn_current,0.973926424920361,30
11,0,within,2,31.25,L2,pre_reset,0.9832832816297838,30
11,0,within,4,62.5,L1,spike50,0.755920364270188,28
11,0,within,4,62.5,L1,syn_current,0.7934495508046288,28
11,0,within,4,62.5,L1,pre_reset,0.8182177079456091,28
11,0,within,4,62.5,L2,spike50,0.856399129709548,28
11,0,within,4,62.5,L2,syn_current,0.9333857510493597,28
11,0,within,4,62.5,L2,pre_reset,0.949360294914365,28
11,0,within,8,125.0,L1,spike50,0.6478316501405574,24
11,0,within,8,125.0,L1,syn_current,0.6531165357634207,24
11,0,within,8,125.0,L1,pre_reset,0.6553346675955373,24
11,0,within,8,125.0,L2,spike50,0.7132588556809086,24
11,0,within,8,125.0,L2,syn_current,0.8451095669926841,24
11,0,within,8,125.0,L2,pre_reset,0.8701850306743916,24
11,0,within,16,250.0,L1,spike50,0.45152686697246636,16
11,0,within,16,250.0,L1,syn_current,0.542729269135498,16
11,0,within,16,250.0,L1,pre_reset,0.5454257665857123,16
11,0,within,16,250.0,L2,spike50,0.4797146723009282,16
11,0,within,16,250.0,L2,syn_current,0.6629925800905323,16
11,0,within,16,250.0,L2,pre_reset,0.7019583616330127,16
11,1,within,1,15.625,L1,spike50,0.9485354087910841,66
11,1,within,1,15.625,L1,syn_current,0.952303371828158,66
11,1,within,1,15.625,L1,pre_reset,0.9645568677091698,66
