architecture,condition,seed,epoch,split,shift,valid_firing_rate_hz,tail_firing_rate_hz,tail_valid_ratio,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz
short_mid_long,relative_tail,37,1,train,6,2.1519180569878142,4.120041929263779,1.9145905281499807,4.36302194649871,4.158045053053659,3.8156435264869
short_mid_long,relative_tail,37,1,train,7,2.7023137591747637,5.813086934202977,2.151151735976871,5.878156267140777,5.854753393479728,5.697456492637215
short_mid_long,relative_tail,37,1,val,6,0.4585742294459703,1.278115924732466,2.787151659779554,1.3414733414733415,1.265189836618408,1.2234819853867474
short_mid_long,relative_tail,37,1,val,7,0.6902692601928841,1.8325178024426145,2.654786918847506,1.884760741903599,1.838246409674981,1.7697152935248173
short_mid_long,relative_tail,37,2,train,6,2.2800868048493954,4.379692777554903,1.9208447539102314,4.659592845479248,4.394091278772862,4.060869327650739
short_mid_long,relative_tail,37,2,train,7,2.902861353897246,6.330732166043336,2.18085929510343,6.367195627092356,6.380914553031593,6.236865830669617
short_mid_long,relative_tail,37,2,val,6,0.5342898110872828,1.3455861876914508,2.518457510827645,1.4251991394848538,1.332170475027618,1.27387251196775
short_mid_long,relative_tail,37,2,val,7,0.8280555660065799,2.0158332338783467,2.4344178297115975,2.0354671783243212,2.0317460317460316,1.9773242630385488
short_mid_long,relative_tail,37,3,train,6,2.3375100789809284,4.5402318187896595,1.9423367880274722,4.848026328232868,4.551455429252331,4.194628855558287
short_mid_long,relative_tail,37,3,train,7,2.950892732526377,6.529922051255506,2.212863239411952,6.602434857168076,6.581049472615738,6.395978471709969
short_mid_long,relative_tail,37,3,val,6,0.5602417949007362,1.4385169272387317,2.567671566691322,1.5535786964358393,1.4345020059305773,1.3182161753590325
short_mid_long,relative_tail,37,3,val,7,0.820831817934794,2.124676771293313,2.5884434848529407,2.148962148962149,2.1564044421187276,2.0639959687578737
short_mid_long,relative_tail,37,4,train,6,2.4973254312527766,4.903687790905836,1.9635758037533433,5.19059597889202,4.940023831590096,4.5535065431795205
short_mid_long,relative_tail,37,4,train,7,3.2164689950209238,7.137844611528822,2.2191554224766867,7.230680965620724,7.190734681268244,6.979974319044887
short_mid_long,relative_tail,37,4,val,6,0.6651199150540736,1.5868242033655569,2.3857715991507327,1.7191697191697193,1.588929588929589,1.4411690602166793
short_mid_long,relative_tail,37,4,val,7,0.9101922570450356,2.2048772725464456,2.4224302673202702,2.214082214082214,2.214082214082214,2.18493323255228
short_mid_long,relative_tail,37,5,train,6,2.6019123545376748,5.15988767098469,1.9831135595270786,5.446413597876592,5.215209346018296,4.789552768898724
short_mid_long,relative_tail,37,5,train,7,3.431767990831417,7.634645995367075,2.2246975948736627,7.726983286363665,7.697931443198224,7.4660546949703575
short_mid_long,relative_tail,37,5,val,6,0.6825104196713362,1.6256514301627083,2.38187049356044,1.7470783185068899,1.628001628001628,1.491559586797682
short_mid_long,relative_tail,37,5,val,7,0.9912587631839673,2.3837371205792257,2.4047576769183414,2.392697249840107,2.385254956683528,2.3723859914336103
short_mid_long,relative_tail,37,6,train,6,2.6218190895699394,5.162234329369034,1.9689513856639904,5.479903917081198,5.202700913544287,4.774253476490998
short_mid_long,relative_tail,37,6,train,7,3.5651431155475906,7.833007648208301,2.197108894183953,7.955766551291508,7.883540441199649,7.645274977460864
short_mid_long,relative_tail,37,6,val,6,0.6573610745325257,1.68166447865696,2.55820513840564,1.7377754520611663,1.708006279434851,1.5923406399596876
short_mid_long,relative_tail,37,6,val,7,1.029517873341945,2.442932728647014,2.37289006039006,2.470841327984185,2.4559567416710273,2.398589065255732
short_mid_long,relative_tail,37,7,train,6,2.735491650895205,5.27390766071806,1.9279560436575065,5.640496050134605,5.2991368929406795,4.849438570608966
short_mid_long,relative_tail,37,7,train,7,3.6184829568519925,7.911551684719544,2.1864277872963744,8.03929060039215,7.964240005548095,7.716088845176625
short_mid_long,relative_tail,37,7,val,6,0.6688655622024071,1.7440426462982854,2.6074636591478697,1.8345252630966917,1.7694051979766265,1.618543713781809
short_mid_long,relative_tail,37,7,val,7,1.016140562097897,2.4372041214146476,2.3984911264469755,2.4503750218035933,2.442932728647014,2.416729654824893
short_mid_long,relative_tail,37,8,train,6,2.7175245464558277,5.325810222630587,1.9598020667656757,5.6546184738955825,5.3447321467975515,4.949102532579297
