architecture,condition,seed,epoch,split,shift,valid_firing_rate_hz,tail_firing_rate_hz,tail_valid_ratio,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz
short_mid_long,sat,37,1,train,6,2.1519180569878142,4.120041929263779,1.9145905281499807,4.36302194649871,4.158045053053659,3.8156435264869
short_mid_long,sat,37,1,train,7,2.7023137591747637,5.813086934202977,2.151151735976871,5.878156267140777,5.854753393479728,5.697456492637215
short_mid_long,sat,37,1,val,6,0.4585742294459703,1.278115924732466,2.787151659779554,1.3414733414733415,1.265189836618408,1.2234819853867474
short_mid_long,sat,37,1,val,7,0.6902692601928841,1.8325178024426145,2.654786918847506,1.884760741903599,1.838246409674981,1.7697152935248173
short_mid_long,sat,37,2,train,6,2.2800868048493954,4.379692777554903,1.9208447539102314,4.659592845479248,4.394091278772862,4.060869327650739
short_mid_long,sat,37,2,train,7,2.902861353897246,6.330732166043336,2.18085929510343,6.367195627092356,6.380914553031593,6.236865830669617
short_mid_long,sat,37,2,val,6,0.5342898110872828,1.3455861876914508,2.518457510827645,1.4251991394848538,1.332170475027618,1.27387251196775
short_mid_long,sat,37,2,val,7,0.8280555660065799,2.0158332338783467,2.4344178297115975,2.0354671783243212,2.0317460317460316,1.9773242630385488
short_mid_long,sat,37,3,train,6,2.3375100789809284,4.5402318187896595,1.9423367880274722,4.848026328232868,4.551455429252331,4.194628855558287
short_mid_long,sat,37,3,train,7,2.950892732526377,6.529922051255506,2.212863239411952,6.602434857168076,6.581049472615738,6.395978471709969
short_mid_long,sat,37,3,val,6,0.5602417949007362,1.4385169272387317,2.567671566691322,1.5535786964358393,1.4345020059305773,1.3182161753590325
short_mid_long,sat,37,3,val,7,0.820831817934794,2.124676771293313,2.5884434848529407,2.148962148962149,2.1564044421187276,2.0639959687578737
short_mid_long,sat,37,4,train,6,2.4973254312527766,4.903687790905836,1.9635758037533433,5.19059597889202,4.940023831590096,4.5535065431795205
short_mid_long,sat,37,4,train,7,3.2164689950209238,7.137844611528822,2.2191554224766867,7.230680965620724,7.190734681268244,6.979974319044887
short_mid_long,sat,37,4,val,6,0.6651199150540736,1.5868242033655569,2.3857715991507327,1.7191697191697193,1.588929588929589,1.4411690602166793
short_mid_long,sat,37,4,val,7,0.9101922570450356,2.2048772725464456,2.4224302673202702,2.214082214082214,2.214082214082214,2.18493323255228
