architecture,condition,seed,epoch,split,shift,valid_firing_rate_hz,tail_firing_rate_hz,tail_valid_ratio,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz
short_mid_long,sat,23,1,train,6,5.051002235519964,9.703984574172091,1.9211998177175893,9.991009564159306,9.7654542818054,9.326448651749857
short_mid_long,sat,23,1,train,7,4.518981981055105,8.597466126590142,1.9025227723043012,8.624765939740122,8.659870250231696,8.500286861732645
short_mid_long,sat,23,1,val,6,2.7011466863982005,6.01567410589967,2.2270816080414986,6.337112622826909,6.085935228792372,5.591332829428067
short_mid_long,sat,23,1,val,7,2.1861202035023473,5.084457174682739,2.325790304914164,5.155648584220013,5.099831385545671,4.990677752582514
short_mid_long,sat,23,2,train,6,5.005318830766433,9.758785949382924,1.9496831828969867,10.095918997812285,9.817102002988406,9.330382755511843
short_mid_long,sat,23,2,train,7,4.269484235317387,8.109223143918316,1.899344908417372,8.100218771475227,8.180918335823671,8.04130808950086
short_mid_long,sat,23,2,val,6,2.7115809891685583,6.235907228388432,2.2997311359306014,6.532472818187104,6.277574277574278,5.8694885361552025
short_mid_long,sat,23,2,val,7,1.96459192930091,4.754744002864304,2.420219655771596,4.837490551776266,4.779812779812779,4.637944066515495
short_mid_long,sat,23,3,train,6,4.8457076501359415,9.44861292646418,1.949893309432134,9.742858403787835,9.505198186781664,9.068546294019615
short_mid_long,sat,23,3,train,7,4.294342132652549,8.254577925019088,1.9221984811723334,8.248705969876365,8.319721586502999,8.190366909816134
short_mid_long,sat,23,3,val,6,2.5863693559242678,6.037315510999721,2.334282030202225,6.275713704285133,6.136170707599279,5.671957671957672
short_mid_long,sat,23,3,val,7,2.0106098799804357,4.82921589688507,2.4018661924271756,4.90633176347462,4.861678004535148,4.710506424792139
short_mid_long,sat,23,4,train,6,4.8070171240988735,9.490300622468391,1.9742597909399895,9.78159419467509,9.572582323012616,9.085594076988224
short_mid_long,sat,23,4,train,7,4.345793386274402,8.471850883663548,1.9494371063338485,8.492015156386929,8.540434894995997,8.375706909269732
short_mid_long,sat,23,4,val,6,2.707300249570463,6.011218522496718,2.2203737924710976,6.305482876911448,6.106401534972964,5.589317208364827
short_mid_long,sat,23,4,val,7,2.035759225119246,4.8381270636909735,2.3765713567662092,4.954706668992383,4.854235711378569,4.6943814562862185
short_mid_long,sat,23,5,train,6,4.699061368731591,9.245281879397288,1.9674741728033334,9.570564833903905,9.311115734523652,8.821572002294895
short_mid_long,sat,23,5,train,7,4.482945686355672,8.717007665463141,1.944482105146688,8.802304981306703,8.763972688241191,8.57372346528973
short_mid_long,sat,23,5,val,6,2.7466295446279645,5.859728686796356,2.1334252004451026,6.205011919297633,5.912901912901913,5.428067523305619
short_mid_long,sat,23,5,val,7,2.166856875310918,5.013804352150217,2.313860416568028,5.066341066341066,5.038432467003895,4.930209120685311
short_mid_long,sat,23,6,train,6,4.667618935962682,9.173915856767564,1.9654380493842678,9.479777824011903,9.24010011789702,8.770865776029288
short_mid_long,sat,23,6,train,7,4.553844288816737,8.858497362166172,1.94527893365189,8.936266258125123,8.897933965059611,8.73152473840942
short_mid_long,sat,23,6,val,6,2.75652875494856,6.058320404185066,2.197807802044177,6.409674981103553,6.074771789057503,5.659863945578231
short_mid_long,sat,23,6,val,7,2.080439444674367,5.048175995544416,2.426495040971771,5.120297691726263,5.0942496656782374,4.920131015369111
short_mid_long,sat,23,7,train,6,4.825851958014016,9.510730354285023,1.9707878395422176,9.834855907145064,9.578231292517007,9.086468322268667
short_mid_long,sat,23,7,train,7,4.754136668987524,9.25977594588882,1.9477302800932834,9.332904616897732,9.304659769375776,9.131929076851625
short_mid_long,sat,23,7,val,6,2.860069143977493,6.499423161077297,2.272470641055398,6.712948427234141,6.530612244897959,6.234315948601663
short_mid_long,sat,23,7,val,7,2.361362980799378,5.470183394995425,2.3165364408074347,5.617070759927903,5.479388336531193,5.301083396321491
