architecture,condition,seed,epoch,split,shift,valid_firing_rate_hz,tail_firing_rate_hz,tail_valid_ratio,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz
short_mid_long,relative_tail,23,1,train,6,5.051002235519964,9.703984574172091,1.9211998177175893,9.991009564159306,9.7654542818054,9.326448651749857
short_mid_long,relative_tail,23,1,train,7,4.518981981055105,8.597466126590142,1.9025227723043012,8.624765939740122,8.659870250231696,8.500286861732645
short_mid_long,relative_tail,23,1,val,6,2.7011466863982005,6.01567410589967,2.2270816080414986,6.337112622826909,6.085935228792372,5.591332829428067
short_mid_long,relative_tail,23,1,val,7,2.1861202035023473,5.084457174682739,2.325790304914164,5.155648584220013,5.099831385545671,4.990677752582514
short_mid_long,relative_tail,23,2,train,6,5.005318830766433,9.758785949382924,1.9496831828969867,10.095918997812285,9.817102002988406,9.330382755511843
short_mid_long,relative_tail,23,2,train,7,4.269484235317387,8.109223143918316,1.899344908417372,8.100218771475227,8.180918335823671,8.04130808950086
short_mid_long,relative_tail,23,2,val,6,2.7115809891685583,6.235907228388432,2.2997311359306014,6.532472818187104,6.277574277574278,5.8694885361552025
short_mid_long,relative_tail,23,2,val,7,1.96459192930091,4.754744002864304,2.420219655771596,4.837490551776266,4.779812779812779,4.637944066515495
short_mid_long,relative_tail,23,3,train,6,4.8457076501359415,9.44861292646418,1.949893309432134,9.742858403787835,9.505198186781664,9.068546294019615
short_mid_long,relative_tail,23,3,train,7,4.294342132652549,8.254577925019088,1.9221984811723334,8.248705969876365,8.319721586502999,8.190366909816134
short_mid_long,relative_tail,23,3,val,6,2.5863693559242678,6.037315510999721,2.334282030202225,6.275713704285133,6.136170707599279,5.671957671957672
short_mid_long,relative_tail,23,3,val,7,2.0106098799804357,4.82921589688507,2.4018661924271756,4.90633176347462,4.861678004535148,4.710506424792139
short_mid_long,relative_tail,23,4,train,6,4.8070171240988735,9.490300622468391,1.9742597909399895,9.78159419467509,9.572582323012616,9.085594076988224
