,A Raw,B Frozen→Recon,C Recon,D Raw,D Recon
CNN-S,0.130050505050505,0.1224747474747474,0.1025252525252525,0.1141414141414141,0.1098484848484848
CNN-M,0.3286075036075035,0.1613997113997114,0.2144660894660894,0.2655393217893217,0.1347222222222222
CNN-L,0.5206890331890331,0.2234848484848484,0.315566378066378,0.4863215488215488,0.3357683982683983
