cv_mode,method,rotation,seed,split,class_index,class_label,precision,recall,f1,support
within_user,raw250_linear,0,11,train,0,A,1.0,1.0,1.0,39
within_user,raw250_linear,0,11,train,1,B,1.0,1.0,1.0,38
within_user,raw250_linear,0,11,train,2,C,0.9782608695652174,1.0,0.989010989010989,45
within_user,raw250_linear,0,11,train,3,D,1.0,1.0,1.0,48
within_user,raw250_linear,0,11,train,4,E,1.0,1.0,1.0,46
within_user,raw250_linear,0,11,train,5,G,1.0,1.0,1.0,41
within_user,raw250_linear,0,11,train,6,H,1.0,1.0,1.0,47
within_user,raw250_linear,0,11,train,7,I,1.0,1.0,1.0,48
within_user,raw250_linear,0,11,train,8,J,1.0,1.0,1.0,46
within_user,raw250_linear,0,11,train,9,K,1.0,1.0,1.0,45
within_user,raw250_linear,0,11,train,10,L,1.0,1.0,1.0,28
within_user,raw250_linear,0,11,train,11,X,1.0,0.9743589743589743,0.987012987012987,39
within_user,raw250_linear,0,11,val,0,A,0.5833333333333334,0.7,0.6363636363636364,10
within_user,raw250_linear,0,11,val,1,B,0.8,0.5,0.6153846153846154,16
within_user,raw250_linear,0,11,val,2,C,0.9285714285714286,0.7647058823529411,0.8387096774193549,17
within_user,raw250_linear,0,11,val,3,D,0.75,0.6,0.6666666666666666,15
within_user,raw250_linear,0,11,val,4,E,1.0,0.6923076923076923,0.8181818181818182,13
within_user,raw250_linear,0,11,val,5,G,0.7,0.875,0.7777777777777778,16
within_user,raw250_linear,0,11,val,6,H,0.6842105263157895,0.7222222222222222,0.7027027027027027,18
within_user,raw250_linear,0,11,val,7,I,0.6,0.6428571428571429,0.6206896551724138,14
within_user,raw250_linear,0,11,val,8,J,0.6666666666666666,0.9411764705882353,0.7804878048780488,17
within_user,raw250_linear,0,11,val,9,K,0.5789473684210527,0.7333333333333333,0.6470588235294118,15
within_user,raw250_linear,0,11,val,10,L,0.6923076923076923,0.6923076923076923,0.6923076923076923,13
within_user,raw250_linear,0,11,val,11,X,0.7142857142857143,0.5,0.5882352941176471,10
within_user,raw250_linear,0,11,test,0,A,0.5,0.35294117647058826,0.41379310344827586,17
within_user,raw250_linear,0,11,test,1,B,0.8181818181818182,0.5294117647058824,0.6428571428571429,17
within_user,raw250_linear,0,11,test,2,C,0.6666666666666666,0.625,0.6451612903225806,16
within_user,raw250_linear,0,11,test,3,D,0.5714285714285714,0.7272727272727273,0.64,11
within_user,raw250_linear,0,11,test,4,E,0.5555555555555556,0.5882352941176471,0.5714285714285714,17
within_user,raw250_linear,0,11,test,5,G,0.5882352941176471,0.6666666666666666,0.625,15
within_user,raw250_linear,0,11,test,6,H,0.42105263157894735,0.5333333333333333,0.47058823529411764,15
within_user,raw250_linear,0,11,test,7,I,0.55,0.7857142857142857,0.6470588235294118,14
within_user,raw250_linear,0,11,test,8,J,0.6,0.5,0.5454545454545454,12
within_user,raw250_linear,0,11,test,9,K,0.7142857142857143,0.5263157894736842,0.6060606060606061,19
within_user,raw250_linear,0,11,test,10,L,0.14285714285714285,0.2,0.16666666666666666,5
within_user,raw250_linear,0,11,test,11,X,0.5,0.5454545454545454,0.5217391304347826,11
