architecture,family,regularization,source,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
234x234,a1_shared_tsce,task_only,l2_fixed250_linear,test,3,0.6027397260273973,0.5912062474562475,0.5967407233749946,0.04277395889313973,0.03685703372758917,0.027738869274204173
234x234,a1_shared_tsce,task_only,l2_fixed250_linear,train,3,0.9827882960413081,0.9826003037685721,0.983940876835019,0.016951562481576785,0.016875537060325838,0.015358167474294722
234x234,a1_shared_tsce,task_only,l2_fixed250_linear,val,3,0.5687830687830687,0.5605058521725188,0.5680924618627982,0.00458214499356845,0.009823173245589107,0.005142780885232245
234x234,a1_shared_tsce,task_only,l2_wholecount_linear,test,3,0.6073059360730594,0.5954279516779516,0.5908279371180538,0.01046250158665718,0.010860690804373031,0.008671039758937453
234x234,a1_shared_tsce,task_only,l2_wholecount_linear,train,3,0.9236947791164658,0.9223900926520652,0.9270214816535797,0.025373889142278814,0.027669561528374787,0.025300198339821122
234x234,a1_shared_tsce,task_only,l2_wholecount_linear,val,3,0.5396825396825397,0.5280944364277698,0.5307979018146537,0.0209980262782904,0.02363287542602399,0.025883344027056346
234x234,a1_shared_tsce,task_plus_reg,l2_fixed250_linear,test,3,0.6004566210045662,0.589727170977171,0.5837084395853774,0.022017467490851532,0.020266131797358904,0.03148824704826445
234x234,a1_shared_tsce,task_plus_reg,l2_fixed250_linear,train,3,0.9770510613884108,0.9773174460912921,0.9787071698652102,0.01671692746337751,0.017264062006452145,0.015676746307012504
234x234,a1_shared_tsce,task_plus_reg,l2_fixed250_linear,val,3,0.5634920634920636,0.5512666345999678,0.5569144695926004,0.020998026278290408,0.016263562403556277,0.014923030895645544
234x234,a1_shared_tsce,task_plus_reg,l2_wholecount_linear,test,3,0.5776255707762558,0.5656341343841343,0.5578099501762712,0.03088527227960885,0.031806735159340974,0.028744616824678906
234x234,a1_shared_tsce,task_plus_reg,l2_wholecount_linear,train,3,0.9592656339644291,0.9593278981896542,0.962070914822703,0.021382266383917607,0.02211362880008859,0.020485389136513463
234x234,a1_shared_tsce,task_plus_reg,l2_wholecount_linear,val,3,0.5317460317460317,0.5178992303992304,0.5133555669634438,0.03636964837266544,0.03640669056086785,0.03984242847330372
234x234,a2_shared_wholecount,task_only,l2_fixed250_linear,test,3,0.5707762557077626,0.5617278554778554,0.5692686307862804,0.025931088336987526,0.02053050073231071,0.021142582312180337
