family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second,regularization,test_mean_dead_neuron_fraction,test_last_hidden_dead_neuron_fraction,test_mean_active_step_fraction,test_last_hidden_active_step_fraction,test_mean_abs_post_reset_membrane,test_last_hidden_mean_abs_post_reset_membrane
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,11,output_whole_count,99,0.4937809655402339,0.21005291005291,0.2335678210678211,0.2397260273972602,0.2009165571054836,0.2335678210678211,5.432571239231279,off,,,,,,
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,23,output_whole_count,100,0.4789709719307955,0.2223544973544974,0.2314713064713065,0.2397260273972602,0.2290855595314798,0.2314713064713065,4.828528827037774,off,,,,,,
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,37,output_whole_count,93,0.4782574451589986,0.1888888888888888,0.2239607614607614,0.2328767123287671,0.2212189366375932,0.2239607614607614,5.190772034459907,off,,,,,,
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,53,output_whole_count,79,0.4016667164561305,0.1648148148148148,0.1978785103785103,0.2054794520547945,0.1603434189767861,0.1978785103785103,3.531022200132538,off,,,,,,
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,71,output_whole_count,100,0.5151540270321895,0.2064814814814815,0.2067370129870129,0.2123287671232876,0.1569475260434049,0.2067370129870129,4.86174618952949,off,,,,,,
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,11,output_whole_count,92,0.2812271937480039,0.1388888888888889,0.1098484848484848,0.1095890410958904,0.0641178266178266,0.1098484848484848,1.5637839628893306,off,,,,,,
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,23,output_whole_count,68,0.2676054364254974,0.1666666666666666,0.1327922077922078,0.136986301369863,0.105014022643333,0.1327922077922078,2.4341865473823723,off,,,,,,
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,37,output_whole_count,98,0.3161350596944859,0.1700396825396825,0.1525974025974026,0.1643835616438356,0.1032773186165516,0.1525974025974026,2.611994698475812,off,,,,,,
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,53,output_whole_count,69,0.2680333441633386,0.1550925925925926,0.1384448884448884,0.1438356164383561,0.099750192863823,0.1384448884448884,1.6695245195493704,off,,,,,,
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,71,output_whole_count,83,0.2568974026449591,0.1319444444444444,0.1268398268398268,0.1301369863013698,0.0925479582146248,0.1268398268398268,1.755881378396289,off,,,,,,
direct_snn,short_mid,whole_count_ce,binary,1,1.0,11,output_whole_count,94,0.8463737042286712,0.4611291486291486,0.441629204129204,0.4589041095890411,0.4059920432761323,0.441629204129204,9.800985752153744,off,,,,,,
direct_snn,short_mid,whole_count_ce,binary,1,1.0,23,output_whole_count,99,0.8572575776291481,0.4654641654641655,0.4869241869241869,0.5068493150684932,0.4850058415622141,0.4869241869241869,10.414057322730285,off,,,,,,
direct_snn,short_mid,whole_count_ce,binary,1,1.0,37,output_whole_count,73,0.7795633534356115,0.4365921115921116,0.4688956876456876,0.4863013698630137,0.4612484777793209,0.4688956876456876,11.094599072233269,off,,,,,,
