architecture,seed,split,sample_index,valid_length,label,trace_npz,layer,raster_png
234x234,11,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__trace.npz,l1,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__L1.png
234x234,11,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__trace.npz,l2,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__L2.png
234x234,11,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__trace.npz,output,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed11__output.png
234x234,23,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__trace.npz,l1,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__L1.png
234x234,23,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__trace.npz,l2,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__L2.png
234x234,23,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__trace.npz,output,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed23__output.png
234x234,37,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__trace.npz,l1,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__L1.png
234x234,37,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__trace.npz,l2,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__L2.png
234x234,37,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__trace.npz,output,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/234x234__a2_wcce__task_only__seed37__output.png
123x234,11,test,40,83,D,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/123x234__a2_wcce__task_only__seed11__trace.npz,l1,notebooks/artifacts/experiment_8_0_local_backbone_tau_sweep/local_backbone_tau_sweep_v1/rasters/123x234__a2_wcce__task_only__seed11__L1.png
